year,VolValPer,Credit,Debit,Credit Average,Debit Average,Lowest Value Credit,Lowest Value Debit
01/01/05,Volume,241385,301202,419550,953028,241385,284798
02/01/05,Volume,245513,284798,419550,953028,241385,284798
03/01/05,Volume,282310,314848,419550,953028,241385,284798
04/01/05,Volume,271667,298015,419550,953028,241385,284798
05/01/05,Volume,289057,308894,419550,953028,241385,284798
06/01/05,Volume,309214,314766,419550,953028,241385,284798
07/01/05,Volume,299008,298165,419550,953028,241385,284798
08/01/05,Volume,304039,341036,419550,953028,241385,284798
09/01/05,Volume,301785,331343,419550,953028,241385,284798
10/01/05,Volume,283209,338862,419550,953028,241385,284798
11/01/05,Volume,270068,321667,419550,953028,241385,284798
12/01/05,Volume,250817,312430,419550,953028,241385,284798
01/01/06,Volume,261436,352363,419550,953028,241385,284798
02/01/06,Volume,248645,326893,419550,953028,241385,284798
03/01/06,Volume,304953,386106,419550,953028,241385,284798
04/01/06,Volume,266702,353256,419550,953028,241385,284798
05/01/06,Volume,311188,389141,419550,953028,241385,284798
06/01/06,Volume,314099,380710,419550,953028,241385,284798
07/01/06,Volume,325222,406149,419550,953028,241385,284798
08/01/06,Volume,318774,436079,419550,953028,241385,284798
09/01/06,Volume,307848,409254,419550,953028,241385,284798
10/01/06,Volume,317687,470767,419550,953028,241385,284798
11/01/06,Volume,287169,429510,419550,953028,241385,284798
12/01/06,Volume,253017,396583,419550,953028,241385,284798
01/01/07,Volume,271473,445204,419550,953028,241385,284798
02/01/07,Volume,272711,436224,419550,953028,241385,284798
03/01/07,Volume,316023,479391,419550,953028,241385,284798
04/01/07,Volume,306229,477597,419550,953028,241385,284798
05/01/07,Volume,330627,490430,419550,953028,241385,284798
06/01/07,Volume,337639,481182,419550,953028,241385,284798
07/01/07,Volume,365820,528155,419550,953028,241385,284798
08/01/07,Volume,339779,531360,419550,953028,241385,284798
09/01/07,Volume,326547,481780,419550,953028,241385,284798
10/01/07,Volume,359039,582033,419550,953028,241385,284798
11/01/07,Volume,318535,510355,419550,953028,241385,284798
12/01/07,Volume,285205,494644,419550,953028,241385,284798
01/01/08,Volume,300145,524334,419550,953028,241385,284798
