year,sectortype,Debit Value,2Yr's Average,Lowest Value,Highest Value
01/04/12,Supermarkets,5817960092,5994094309,5391326982,7213515930
01/05/12,Supermarkets,5835521701,5994094309,5391326982,7213515930
01/06/12,Supermarkets,5537457943,5994094309,5391326982,7213515930
01/07/12,Supermarkets,6021852607,5994094309,5391326982,7213515930
01/08/12,Supermarkets,5683426164,5994094309,5391326982,7213515930
01/09/12,Supermarkets,5414093154,5994094309,5391326982,7213515930
01/10/12,Supermarkets,6168262328,5994094309,5391326982,7213515930
01/11/12,Supermarkets,5954917043,5994094309,5391326982,7213515930
01/12/12,Supermarkets,7213515930,5994094309,5391326982,7213515930
01/01/13,Supermarkets,5569393490,5994094309,5391326982,7213515930
01/02/13,Supermarkets,5391326982,5994094309,5391326982,7213515930
01/03/13,Supermarkets,5949152252,5994094309,5391326982,7213515930
01/04/13,Supermarkets,5760900253,5994094309,5391326982,7213515930
01/05/13,Supermarkets,6019681627,5994094309,5391326982,7213515930
01/06/13,Supermarkets,5778078903,5994094309,5391326982,7213515930
01/07/13,Supermarkets,6438913903,5994094309,5391326982,7213515930
01/08/13,Supermarkets,5765036669,5994094309,5391326982,7213515930
01/09/13,Supermarkets,5991941701,5994094309,5391326982,7213515930
01/10/13,Supermarkets,6027317297,5994094309,5391326982,7213515930
01/11/13,Supermarkets,6125921193,5994094309,5391326982,7213515930
01/12/13,Supermarkets,7170740212,5994094309,5391326982,7213515930
01/01/14,Supermarkets,5716994880,5994094309,5391326982,7213515930
01/02/14,Supermarkets,5552504549,5994094309,5391326982,7213515930
01/03/14,Supermarkets,6601404946,5994094309,5391326982,7213515930
01/04/14,Supermarkets,6346041895,5994094309,5391326982,7213515930
01/04/12,Bakers & dairies,13619316,14627523,11089299,
01/05/12,Bakers & dairies,14340214,14627523,11089299,
01/06/12,Bakers & dairies,13963178,14627523,11089299,
01/07/12,Bakers & dairies,15374310,14627523,11089299,
01/08/12,Bakers & dairies,15150821,14627523,11089299,
01/09/12,Bakers & dairies,11111653,14627523,11089299,
01/10/12,Bakers & dairies,12735634,14627523,11089299,
01/11/12,Bakers & dairies,12731935,14627523,11089299,
01/12/12,Bakers & dairies,14066501,14627523,11089299,
01/01/13,Bakers & dairies,11089299,14627523,11089299,
01/02/13,Bakers & dairies,16563453,14627523,11089299,
01/03/13,Bakers & dairies,14054776,14627523,11089299,
01/04/13,Bakers & dairies,13358580,14627523,11089299,
01/05/13,Bakers & dairies,14849453,14627523,11089299,
01/06/13,Bakers & dairies,14494534,14627523,11089299,
01/07/13,Bakers & dairies,15483265,14627523,11089299,
01/08/13,Bakers & dairies,15866427,14627523,11089299,
01/09/13,Bakers & dairies,15397357,14627523,11089299,
01/10/13,Bakers & dairies,16678825,14627523,11089299,
01/11/13,Bakers & dairies,16674490,14627523,11089299,
01/12/13,Bakers & dairies,16332307,14627523,11089299,
01/01/14,Bakers & dairies,13284360,14627523,11089299,
01/02/14,Bakers & dairies,14615963,14627523,11089299,
01/03/14,Bakers & dairies,17330572,14627523,11089299,
01/04/14,Bakers & dairies,16520864,14627523,11089299,
01/04/12,Sweet stores,15050636,14325776,,
01/05/12,Sweet stores,10579155,14325776,,
01/06/12,Sweet stores,11281209,14325776,,
01/07/12,Sweet stores,11442649,14325776,,
01/08/12,Sweet stores,11253844,14325776,,
01/09/12,Sweet stores,9770435,14325776,,
01/10/12,Sweet stores,12626286,14325776,,
01/11/12,Sweet stores,16106833,14325776,,
01/12/12,Sweet stores,35879867,14325776,,
01/01/13,Sweet stores,8083011,14325776,,
01/02/13,Sweet stores,10462439,14325776,,
01/03/13,Sweet stores,17204687,14325776,,
01/04/13,Sweet stores,13184131,14325776,,
01/05/13,Sweet stores,11318382,14325776,,
01/06/13,Sweet stores,11688422,14325776,,
01/07/13,Sweet stores,11382404,14325776,,
01/08/13,Sweet stores,11871845,14325776,,
01/09/13,Sweet stores,11741743,14325776,,
01/10/13,Sweet stores,13431329,14325776,,
01/11/13,Sweet stores,17235543,14325776,,
01/12/13,Sweet stores,28163453,14325776,,
01/01/14,Sweet stores,10468419,14325776,,
01/02/14,Sweet stores,13406756,14325776,,
01/03/14,Sweet stores,15837220,14325776,,
01/04/14,Sweet stores,18673712,14325776,,
01/04/12,Miscellaneous foodstores,266471214,279134573,,
01/05/12,Miscellaneous foodstores,275959120,279134573,,
01/06/12,Miscellaneous foodstores,262171888,279134573,,
01/07/12,Miscellaneous foodstores,277671097,279134573,,
01/08/12,Miscellaneous foodstores,267638773,279134573,,
01/09/12,Miscellaneous foodstores,232102053,279134573,,
01/10/12,Miscellaneous foodstores,260040869,279134573,,
01/11/12,Miscellaneous foodstores,250794337,279134573,,
01/12/12,Miscellaneous foodstores,317240291,279134573,,
01/01/13,Miscellaneous foodstores,243431502,279134573,,
01/02/13,Miscellaneous foodstores,256870787,279134573,,
01/03/13,Miscellaneous foodstores,267324428,279134573,,
01/04/13,Miscellaneous foodstores,270900450,279134573,,
01/05/13,Miscellaneous foodstores,296501362,279134573,,
01/06/13,Miscellaneous foodstores,276506809,279134573,,
01/07/13,Miscellaneous foodstores,309793975,279134573,,
01/08/13,Miscellaneous foodstores,287074791,279134573,,
01/09/13,Miscellaneous foodstores,275097906,279134573,,
01/10/13,Miscellaneous foodstores,291336200,279134573,,
01/11/13,Miscellaneous foodstores,286676095,279134573,,
01/12/13,Miscellaneous foodstores,342533638,279134573,,
01/01/14,Miscellaneous foodstores,283130937,279134573,,
01/02/14,Miscellaneous foodstores,273209081,279134573,,
01/03/14,Miscellaneous foodstores,310075213,279134573,,
01/04/14,Miscellaneous foodstores,297811515,279134573,,
01/04/12,Off-licences,71787952,77138474,,
01/05/12,Off-licences,77225336,77138474,,
01/06/12,Off-licences,72514013,77138474,,
01/07/12,Off-licences,74355638,77138474,,
01/08/12,Off-licences,72855507,77138474,,
01/09/12,Off-licences,68045817,77138474,,
01/10/12,Off-licences,72708503,77138474,,
01/11/12,Off-licences,74567876,77138474,,
01/12/12,Off-licences,105871640,77138474,,
01/01/13,Off-licences,63851451,77138474,,
01/02/13,Off-licences,80681357,77138474,,
01/03/13,Off-licences,73446850,77138474,,
01/04/13,Off-licences,74784010,77138474,,
01/05/13,Off-licences,80598477,77138474,,
01/06/13,Off-licences,78293764,77138474,,
01/07/13,Off-licences,83896565,77138474,,
01/08/13,Off-licences,79956871,77138474,,
01/09/13,Off-licences,73901099,77138474,,
01/10/13,Off-licences,77639112,77138474,,
01/11/13,Off-licences,80115901,77138474,,
01/12/13,Off-licences,95446992,77138474,,
01/01/14,Off-licences,66839094,77138474,,
01/02/14,Off-licences,68235475,77138474,,
01/03/14,Off-licences,80184301,77138474,,
01/04/14,Off-licences,80658237,77138474,,
01/04/12,Sectorhead: Food & drink,6184889210,6379320655,,
01/05/12,Sectorhead: Food & drink,6213625526,6379320655,,
01/06/12,Sectorhead: Food & drink,5897388231,6379320655,,
01/07/12,Sectorhead: Food & drink,6400696301,6379320655,,
01/08/12,Sectorhead: Food & drink,6050325109,6379320655,,
01/09/12,Sectorhead: Food & drink,5735123112,6379320655,,
01/10/12,Sectorhead: Food & drink,6526373620,6379320655,,
01/11/12,Sectorhead: Food & drink,6309118024,6379320655,,
01/12/12,Sectorhead: Food & drink,7686574229,6379320655,,
01/01/13,Sectorhead: Food & drink,5895848753,6379320655,,
01/02/13,Sectorhead: Food & drink,5755905018,6379320655,,
01/03/13,Sectorhead: Food & drink,6321182993,6379320655,,
01/04/13,Sectorhead: Food & drink,6133127424,6379320655,,
01/05/13,Sectorhead: Food & drink,6422949301,6379320655,,
01/06/13,Sectorhead: Food & drink,6159062432,6379320655,,
01/07/13,Sectorhead: Food & drink,6859470112,6379320655,,
01/08/13,Sectorhead: Food & drink,6159806603,6379320655,,
01/09/13,Sectorhead: Food & drink,6368079806,6379320655,,
01/10/13,Sectorhead: Food & drink,6426402763,6379320655,,
01/11/13,Sectorhead: Food & drink,6526623222,6379320655,,
01/12/13,Sectorhead: Food & drink,7653216602,6379320655,,
01/01/14,Sectorhead: Food & drink,6090717690,6379320655,,
01/02/14,Sectorhead: Food & drink,5921971824,6379320655,,
01/03/14,Sectorhead: Food & drink,7024832252,6379320655,,
01/04/14,Sectorhead: Food & drink,6759706223,6379320655,,
01/04/12,Department stores,478163831,,,
01/05/12,Department stores,478244986,,,
01/06/12,Department stores,507943461,,,
01/07/12,Department stores,481941349,,,
01/08/12,Department stores,427482924,,,
01/09/12,Department stores,427060337,,,
01/10/12,Department stores,502621364,,,
01/11/12,Department stores,581576390,,,
01/12/12,Department stores,956438125,,,
01/01/13,Department stores,428268774,,,
01/02/13,Department stores,377980479,,,
01/03/13,Department stores,426312974,,,
01/04/13,Department stores,442164754,,,
01/05/13,Department stores,458069424,,,
01/06/13,Department stores,481347059,,,
01/07/13,Department stores,496472101,,,
01/08/13,Department stores,433673553,,,
01/09/13,Department stores,467967888,,,
01/10/13,Department stores,483967139,,,
01/11/13,Department stores,606731816,,,
01/12/13,Department stores,842736395,,,
01/01/14,Department stores,462656299,,,
